track_id,entry_time,exit_time,duration_seconds
451,2025-12-17 14:56:12,2025-12-17 14:57:10,57.96
454,2025-12-17 14:56:37,2025-12-17 14:57:12,35.69
445,2025-12-17 14:55:45,2025-12-17 14:57:13,88.12
448,2025-12-17 14:55:55,2025-12-17 14:57:13,78.29
453,2025-12-17 14:56:34,2025-12-17 14:58:09,94.5
460,2025-12-17 14:57:59,2025-12-17 14:58:17,18.34
459,2025-12-17 14:57:21,2025-12-17 14:58:25,63.98
458,2025-12-17 14:57:21,2025-12-17 14:58:31,70.36
463,2025-12-17 14:58:26,2025-12-17 14:58:44,17.81
466,2025-12-17 14:58:35,2025-12-17 14:58:54,18.99
470,2025-12-17 14:58:50,2025-12-17 14:59:11,21.61
472,2025-12-17 14:58:56,2025-12-17 14:59:14,17.83
468,2025-12-17 14:58:42,2025-12-17 14:59:16,34.11
457,2025-12-17 14:56:51,2025-12-17 14:59:21,149.65
465,2025-12-17 14:58:31,2025-12-17 14:59:28,57.67
473,2025-12-17 14:59:10,2025-12-17 14:59:36,25.33
462,2025-12-17 14:58:24,2025-12-17 14:59:36,72.46
471,2025-12-17 14:58:51,2025-12-17 14:59:42,50.12
467,2025-12-17 14:58:36,2025-12-17 14:59:42,65.75
474,2025-12-17 14:59:22,2025-12-17 14:59:43,20.81
475,2025-12-17 14:59:23,2025-12-17 14:59:50,26.6
461,2025-12-17 14:58:13,2025-12-17 15:00:17,123.81
480,2025-12-17 15:00:05,2025-12-17 15:00:26,21.3
482,2025-12-17 15:00:08,2025-12-17 15:00:27,19.08
477,2025-12-17 14:59:53,2025-12-17 15:00:28,35.16
479,2025-12-17 15:00:04,2025-12-17 15:00:33,28.98
483,2025-12-17 15:00:17,2025-12-17 15:00:50,32.75
464,2025-12-17 14:58:27,2025-12-17 15:01:04,156.89
484,2025-12-17 15:00:17,2025-12-17 15:01:04,46.92
486,2025-12-17 15:01:04,2025-12-17 15:01:28,24.27
481,2025-12-17 15:00:05,2025-12-17 15:01:30,84.96
485,2025-12-17 15:01:04,2025-12-17 15:01:34,30.71
487,2025-12-17 15:01:18,2025-12-17 15:01:46,28.07
489,2025-12-17 15:01:45,2025-12-17 15:02:03,17.79
447,2025-12-17 14:55:54,2025-12-17 15:02:17,383.28
488,2025-12-17 15:01:44,2025-12-17 15:02:23,39.59
492,2025-12-17 15:02:14,2025-12-17 15:02:33,18.9
491,2025-12-17 15:02:02,2025-12-17 15:02:35,32.79
490,2025-12-17 15:01:49,2025-12-17 15:02:39,50.5
478,2025-12-17 14:59:58,2025-12-17 15:03:39,220.68
